key,business_name,area,primary_category,google_maps_cid,website,master_description_length
record:1db06f905d237e7a,Estrellas Cabinas,Puerto Viejo,vacation_rental,,http://www.casitasmaryluz.com/,377
record:ed378d000c1b2a2e,"Ceibo Adventure - Playa Chiquita, Puerto Viejo, Limón, Costa Rica",Playa Chiquita,tour_company,,https://www.tripadvisor.ca/Attraction_Review-g309265-d25227055-Reviews-Ceibo_Adventure_Caribe-Puerto_Viejo_de_Talamanca_Province_of_Limon.html,444
record:731ed5eea22b7496,"Talamanca Chocolate - Playa Negra, Puerto Viejo, Limón, Costa Rica",Playa Negra,tour_company,,,257
record:8132de7e62d22e35,Hotel Posada Nena,Puerto Viejo,hotel,,https://www.posadanena.com/,64
record:c444cddebe7d89af,Paula's and Daniel's Homestay,Puerto Viejo,hotel,,http://www.elclanhostel.com/,76
record:dbbf9984377cbcc6,Panadería Francés,Cocles,shopping,,,42
record:bb308727dee573bf,Casa Miluca,Playa Negra,restaurant,,,44
record:462ebf134e711bbc,"Boca Chica Bar Restaurante y Piscina - Cahuita, Limón, Costa Rica",Cahuita,restaurant,,https://www.tripadvisor.com/Restaurant_Review-g309262-d2316096-Reviews-Restaurante_Bar_Boca_Chica-Cahuita_Province_of_Limon.html,93
record:9c9d764aaedaf6ac,"TKD Caribe - Cahuita, Limón, Costa Rica",Cahuita,services,,,67
record:bbb4856d838c8dcb,Kinawe Cabinas,Playa Negra,hotel,,,61
record:6252cece9f9278c5,Puerto Viejo de Talamanca,Playa Negra,restaurant,,https://www.facebook.com/cholasplace,58
